PSRJ|S728|e_S728|S1382|e_S1382|S3100|e_S3100
 |mJy|mJy|mJy|mJy|mJy|mJy
-----------|-------|------|--------|------|-------|------
J1224-6407 |  20.00|  2.00|   8.900| 0.500|  3.000| 0.400
J1227-6208 |       |      |        |      |  0.010|
J1231-6303 |   9.00|  2.00|        |      |  0.500| 0.100
J1235-5516 |       |      |        |      |  0.100|
J1239-6832 |   5.00|  1.00|        |      |  0.150| 0.050
J1243-6423 | 140.00| 30.00|        |      |  4.100| 0.800
J1248-6344 |   1.10|  0.20|   0.200| 0.010|  0.020|
J1253-5820 |  25.00|  7.00|        |      |  1.600| 0.500
J1259-6741 |   8.00|  2.00|        |      |  0.300| 0.100
J1301-6305 |   0.70|  0.10|   0.490| 0.030|  0.210| 0.020
J1302-6350 |   1.30|  0.50|   4.500| 0.300|  2.700| 0.300
J1305-6203 |   8.00|  3.00|   0.670| 0.040|  0.230| 0.020
J1305-6455 |  12.00|  2.00|        |      |  0.440| 0.070
J1312-5402 |   5.00|  1.00|        |      |  0.130| 0.040
J1312-5516 |  12.00|  3.00|        |      |  0.600| 0.200
J1312-6400 |   3.00|  1.00|        |      |  0.080|
J1317-6302 |   4.20|  0.50|        |      |  0.240| 0.030
J1319-6056 |   7.00|  1.00|        |      |  0.290| 0.050
J1319-6105 |   2.30|  0.30|        |      |  0.420| 0.070
J1320-5359 |   8.00|  1.00|   2.100| 0.100|  0.510| 0.050
J1326-5859 |  45.00|  8.00|        |      |  3.600| 0.700
J1326-6408 |  11.00|  2.00|        |      |  0.320| 0.050
J1326-6700 |       |      |        |      |  4.000| 1.000
J1327-6222 | 160.00| 30.00|        |      |  5.000| 1.000
J1327-6301 |  13.00|  2.00|        |      |  1.100| 0.200
J1327-6400 |   0.50|  0.20|   0.210| 0.020|  0.081| 0.008
J1338-6204 |       |      |        |      |  1.100| 0.200
J1341-6023 |   1.60|  0.30|        |      |  0.020|
J1341-6220 |   0.90|      |   2.700| 0.100|  1.240| 0.090
J1345-6115 |   2.50|  0.50|        |      |  0.200| 0.040
J1347-5947 |   2.70|  0.50|        |      |  0.140| 0.030
J1349-6130 |   1.00|      |   0.760| 0.040|  0.320| 0.020
J1355-5153 | 200.00|      |        |      |  0.300|
J1356-5521 | 100.00|      |        |      |  0.200|
J1357-62   |  31.00|  5.00|        |      |  2.500| 0.400
J1357-6429 |   1.00|  0.30|   0.520| 0.030|  0.150| 0.020
J1359-6038 |  57.00|  3.00|  12.500| 0.600|  2.100| 0.100
J1401-6357 |  20.00|  6.00|        |      |  1.900| 0.600
J1406-6121 |   0.30|      |   0.440| 0.030|  0.310| 0.020
J1410-6132 |   0.20|      |   1.900| 0.100|  1.790| 0.090
J1412-6145 |   0.30|      |   0.690| 0.040|  0.200| 0.010
J1413-6141 |   0.40|      |   0.820| 0.040|  0.490| 0.030
J1413-6222 |   0.20|      |        |      |  0.450| 0.060
J1413-6307 |   3.00|  0.80|        |      |  0.500| 0.100
J1415-6621 |   1.30|  0.20|        |      |  0.200|
J1420-5416 | 200.00|      |        |      |  6.000|
J1420-6048 |   1.00|      |   1.190| 0.060|  0.900| 0.050
J1424-5822 |   4.30|  0.70|        |      |  0.290| 0.060
J1452-5851 |   0.60|  0.30|   0.330| 0.020|  0.123| 0.008
J1452-6036 |   1.80|  0.20|   1.900| 0.100|  0.760| 0.050
J1453-6413 |  80.00| 10.00|  18.000| 1.000|  2.400| 0.500
J1507-6640 |  20.00|      |        |      |  2.000|
J1509-5850 |       |      |   0.210| 0.010|  0.050|
J1512-5759 |  16.80|  0.90|   7.800| 0.400|  1.240| 0.060
J1513-5739 |   0.07|  0.06|        |      | 10.000|
J1513-5908 |   3.30|  0.30|   1.430| 0.070|  0.350| 0.030
J1514-5925 |   0.40|      |   0.290| 0.020|  0.160| 0.010
J1515-5720 |   1.04|  0.07|   0.250| 0.010|  0.080| 0.010
J1522-5829 |  30.00|  6.00|        |      |  5.000| 1.000
J1524-5625 |   1.80|  0.50|   1.280| 0.070|  0.550| 0.030
J1524-5706 |   0.17|  0.04|   0.450| 0.020|  0.140| 0.020
J1527-5552 | 200.00|      |        |      |  8.000|
J1530-5327 |   1.60|  0.40|   0.920| 0.060|  0.410| 0.060
J1531-5610 |   0.40|      |   0.870| 0.050|  0.600| 0.040
J1534-5405 |   6.00|  1.00|        |      |  0.210| 0.050
J1536-5433 |  80.00|      |        |      |  1.300| 0.400
J1538-5551 |   0.70|      |   0.330| 0.020|  0.100| 0.010
J1539-5626 |   7.60|  0.80|   5.000| 0.300|  2.100| 0.100
J1541-5535 |   0.10|      |   0.300| 0.020|  0.170| 0.010
J1543-5459 |   0.30|      |   0.810| 0.040|  0.210| 0.020
J1548-4927 |   2.20|  0.50|        |      |  0.200| 0.060
J1548-5607 |   3.10|  0.40|   1.390| 0.070|  0.300| 0.020
J1549-4848 |   4.10|  0.70|   1.600| 0.100|  0.250| 0.040
