(1) (2) NoPSR,,(3) V (MHz),(4) S /     w \ (io-26—) \    m2Hz /,(5) £ \    m2Hz J,(6)            (7) Total number of,,(8) a (100-400) MHz,
,,,,,Observ.,Pulses,,
,,61,0.03 ± 0.02,11,,1,3070,
,,85,0.04 ± 0.02,15,,1,3070,
,,102.5,0.14 ± 0.02,47,,18,12200,-0.45
67,2021 + 51,102.5,0.04 ± 0.01,19,,13,6000,-0.44
68,2028 + 22,102.5,<0.03,<20,,7,2500,
69,2043 - 04,102.5,0.02 ± 0.01,35,,4,520,0.16
70,2044 + 15,102.5,0.04 ± 0.02*,40,,13,2900,0.83
71,2045 - 16,102.5,0.09 ± 0.05,180,,2,225,-0.32
72,2106 + 44,102.5,<0.02,<10,,11,4700,
73,2111+46,102.5,0.59 ± 0.12,600,,11,4600,1.23
74,2148 + 63,102.5,0.02 ± 0.01,9,,3,3600,-0.1
75,2154 + 40,61,<0.09,<130,,5,4000,
,,102.5,0.13 ± 0.03,200,,20,3450,0.87
76,2217 + 47,39,0.87 ± 0.19,470,,3,7600,
,,61,1.67 ± 0.67,900,,7,9800,
,,102.5,1.45 ± 0.35,780,,20,18980,2.03
77,2223 + 65,102.5,0.12 ± 0.02,80,,20,14200,0.81
78,2255 + 58,102.5,0.02 ± 0.01**,6,,7,7500,-0.66
79,2303 + 30,61,<0.06,<100,,4,2500,
,,102.5,0.11 ±0.06*,170,,18,4600,1.05
80,2305 + 55,61,<0.05,<25,,2,6800,
,,102.5,0.04 ± 0.01,18,,6,6700,0.4
81,2310 + 42,102.5,0.07 ± 0.02,25,,7,3580,0.2
82,2315 + 21,102.5,0.05 ± 0.01,78,,8,1020,0.56
83,2319 + 60,102.5,0.07 ± 0.02,150,,7,1300,0.32
84,2324 + 60,102.5,^0.06,^15,,10,18000,
85,2327 - 20,85,0.61 ± 0.43,1000,,2,1200,1.67
86,2323 + 63,102.5,0.12 ± 0.02,80,,20,14200,1.14
