Table 1. Pulse energies,,,,,,
Pulsar,Symbol,Frequency (MHz),Pulse energies (ICT^Jm^Hz’1),Error,Polar.,Ref.
,,2388,7,1,z,[17]
,,2650,10,c,t,[54]
,A,2700,1 < 11,,t,[32]
PSR 1818-04,A,80,<   260,,z,[63]
,,408,100,c,,[68]
,,410,95,b,I,[45]
,,410,55,b,t,[48]
,,1420,2,b,I,[20]
,,1664,2.1,c,t,[48]
,,2388,1,0.3,z,[17]
PSR 1911-04,A,80,<   360,,z,[63]
,,408,50,c,,[40]
,,410,160,b,I,[45]
,,410,50,c,t,[48]
,A,1420,<    2,,I,[20]
,,1664,3.8,c,t,[48]
PSR 1919 + 21,,38.23,1000,500,,[ 5]
,,53,3744,2100,I,[10]
,,73.8,2675,400,I,[10]
,,80,800,b,z,[63]
,,81.5,535,c,,[55]
,A,81.5,1337,,,[28]
,N,85,54,c,,[71]
,,111.5,1832,320,I,[10]
,,150,324,c,,[71]
,,151,350,c,z,[43]
,,196.5,575,80,I,[10]
,,237,250,c,,[43]
,,318,200,c,,[13]
,,408,180,c,I,[43]
,,410,190,b,t,[48]
,,430,86,13,I,[10]
,,606,50,25,I,[10]
,,630,43,c,,[71]
,,922,35,c,I,[43]
,,1410,11,c,,[71]
,,1420,5,c,,[26]
,,1420,7,c,I,[20]
,,1665,3,c,t,[48]
,,2295,1.3,b,,[19]
,,2650,2,c,t,[54]
,A,2700,27,,t,[32]
PSR 1929 + 10,,53,63,20,I,[10]
,,73.8,80,11,I,[10]
,A,80,<    30,,z,[63]
,,111.5,97,11,I,[10]
,,196.5,82,14,I,[10]
,,392,15,c,t,[48]
,,408,200,c,,[38]
,,430,63,30,I,[10]
,,606,32,18,I,[10]
,A,1420,25,,I,[24]
,,1420,8,5,I,[61]
,,1420,50,c,I,[22]
,,1420,27,c,I,[20]
,,1665,14,c,t,[48]
,,2388,7.2,1,z,[17]
,,2650,6,c,t,[54]
,,2700,4.5,a,t,[32]
,,4850,2.3,c,I,[14]
,,8078,0.9,b,z,[ 4]
,,10690,0.4,c,I,[72]
PSR 1933+ 16,,111.5,33,13,I,[10]
.        .j .,,146,47,16,I,[10]
,,196.5,79,7,I,[10]
PSR 1933+ 16,,410,35,b,t,[48]
,,430,79,11,I,[10]
,,606,72,11,I,[10]
,,1420,10,c,,[26]
,A,1420,1,,I,[24]
,,1420,10,b,I,[25]
,,1420,9,2,I,[61]
,,1420,11,b,I,[20]
,,1665,8.5,b,t,[48]
,,2388,2.7,a,z,[16]
,,2388,4,0.3,z,[17]
PSR 2016 + 28,,53,54,80,I,[10]
,,73.8,201,40,I,[10]
,,111.5,201,40,I,[10]
,,196.5,206,30,I,[10]
,,410,105,b,t,[48]
,,430,95,20,I,[10]
,,606,42,11,I,[10]
,,1420,10,c,,[26]
,,1420,4,2,I,[61]
,,1420,17,b,I,[20]
,,1665,7.5,b,t,[48]
,,2388,7.2 m,a,z,[16]
,,2388,5.5,0.4,z,[17]
,,2700,10,a,t,[32]
,A,4850,<      1.2,,I,[14]
,,8078,0.22,b,z,[ 4]
,A,8448,<     0.6,,z,[16]
PSR 2020 + 28,,327,70,b,,[53]
,,1420,4,2,I,[61]
,,10690,0.25,c,I,[72]
PSR 2021+ 51,,392,70,c,t,[48]
,A,408,<    50,,t,[15]
,,410,90,b,I,[45]
,,1420,50,c,I,[22]
,A,1420,<    6,,I,[20]
,,1420,22,5,I,[61]
,,1665,61,c,t,[48]
,,2388,9,3,z,[17]
,,2700,16,a,t,[32]
,,4850,3.4,c,I,[14]
,,8078,1.6,b,z,[ 4]
,,8100,7.4,a,t,[32]
,,10690,1.3,c,I,[72]
PSR 2045 - 16,A,80,<   170,,z,[63]
,,410,120,b,t,[48]
,A,1420,<    25,,,[26]
,,1420,19,13,I,[61]
,A,1420,<    49,,I,[20]
,,1665,32,b,t,[48]
,,2388,20 m,a,z,[16]
,,2388,17.4,1.7,z,[17]
,,2650,19,b,t,[54]
,A,2700,<    39,,t,[32]
